	CARD Sequence ID	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	NCBI Family
71	OXA-77	OXA-77	AAX51233.1	carbapenem/cephalosporin/penam	OXA-77	WP_063864534.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
72	OXA-32	OXA-32	AAK58418.1	carbapenem/cephalosporin/penam	OXA-32	WP_063862613.1	cephalosporin	OXA-2 family extended-spectrum class D beta-lactamase
73	OXA-228	OXA-228	AFM55001.1	carbapenem/cephalosporin/penam	OXA-228	WP_063861837.1	carbapenem	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
74	OXA-137	OXA-137	ABW76138.1	carbapenem/cephalosporin/penam	OXA-137	WP_014932145.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
75	OXA-136	OXA-136	ABW76134.1	carbapenem/cephalosporin/penam	OXA-136	WP_013244277.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
76	OXA-385	OXA-385	AHL30272.1	carbapenem/cephalosporin/penam	OXA-385	WP_063862749.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
77	OXA-96	OXA-96	ABF47919.1	carbapenem/cephalosporin/penam	OXA-96	WP_063864543.1	carbapenem	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
78	OXA-361	OXA-361	AHA11124.1	carbapenem/cephalosporin/penam	OXA-361	WP_063862731.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
79	OXA-328	OXA-328	AGW16410.1	carbapenem/cephalosporin/penam	OXA-328	WP_063862662.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
80	OXA-211	OXA-211	AEV91550.1	carbapenem/cephalosporin/penam	OXA-211	WP_063861666.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
81	OXA-147	OXA-147	ACO72579.1	carbapenem/cephalosporin/penam	OXA-147	WP_063861045.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
82	OXA-320	OXA-320	AGR55864.1	carbapenem/cephalosporin/penam	OXA-320	WP_063862622.1	beta-lactam	OXA-1 family class D beta-lactamase
83	OXA-68	OXA-68	AAW81339.1	carbapenem/cephalosporin/penam	OXA-68	WP_001021775.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
84	OXA-355	OXA-355	AGW83453.1	carbapenem/cephalosporin/penam	OXA-355	WP_063862726.1	carbapenem	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
85	OXA-332	OXA-332	AGW16414.1	carbapenem/cephalosporin/penam	OXA-332	WP_063862690.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
86	OXA-349	OXA-349	AGW83447.1	carbapenem/cephalosporin/penam	OXA-349	WP_063862719.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
87	OXA-115	OXA-115	ABS71123.1	carbapenem/cephalosporin/penam	OXA-115	WP_063861004.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
88	OXA-243	OXA-243	AFQ90085.1	carbapenem/cephalosporin/penam	OXA-243	WP_006391197.1	beta-lactam	class D beta-lactamase
89	OXA-219	OXA-219	AEL17179.1	carbapenem/cephalosporin/penam	OXA-219	WP_063861765.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
90	OXA-15	OXA-15	AAB05874.1	carbapenem/cephalosporin/penam	OXA-15	WP_063861048.1	cephalosporin	OXA-2 family extended-spectrum class D beta-lactamase
91	OXA-25	OXA-25	AAG35607.1	carbapenem/cephalosporin/penam	OXA-25	WP_063862416.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
92	OXA-171	OXA-171	ADK35875.1	carbapenem/cephalosporin/penam	OXA-171	WP_063861157.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
93	OXA-239	OXA-239	AFN65709.1	carbapenem/cephalosporin/penam	OXA-239	WP_063862190.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
94	OXA-162	OXA-162	ADG27454.1	carbapenem/cephalosporin/penam	OXA-162	WP_060613455.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
95	OXA-347	OXA-347	AET35493.1	carbapenem/cephalosporin/penam	OXA-347	WP_004295324.1	beta-lactam	class D beta-lactamase
96	OXA-22	OXA-22	AAD12233.1	carbapenem/cephalosporin/penam	OXA-22	WP_063861776.1	beta-lactam	benzylpenicillin-hydrolyzing class D beta-lactamase
97	OXA-28	OXA-28	AAF72942.1	carbapenem/cephalosporin/penam	OXA-28	WP_032489753.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
98	OXA-237	OXA-237	AFH36331.1	carbapenem/cephalosporin/penam	OXA-237	WP_000854010.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
99	OXA-198	OXA-198	ADT70779.1	carbapenem/cephalosporin/penam	OXA	WP_094865115.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
100	OXA-207	OXA-207	AFK28473.1	carbapenem/cephalosporin/penam	OXA-207	WP_057689930.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
101	OXA-350	OXA-350	AGW83448.1	carbapenem/cephalosporin/penam	OXA-350	WP_063862721.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
102	OXA-63	OXA-63	AAU88145.1	carbapenem/cephalosporin/penam	OXA-63	WP_063864528.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
103	OXA-324	OXA-324	AGW16406.1	carbapenem/cephalosporin/penam	OXA-324	WP_063862643.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
104	OXA-216	OXA-216	CCA94649.1	carbapenem/cephalosporin/penam	OXA-216	WP_063861733.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
105	OXA-3	OXA-3	AAC41449.1	carbapenem/cephalosporin/penam	OXA-3	WP_063862540.1	beta-lactam	OXA-2 family oxacillin-hydrolyzing class D beta-lactamase
106	OXA-138	OXA-138	ACD45467.1	carbapenem/cephalosporin/penam	OXA-138	WP_063861039.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
107	OXA-26	OXA-26	AAG35608.1	carbapenem/cephalosporin/penam	OXA-26	WP_063862442.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
108	OXA-160	OXA-160	ADB28891.1	carbapenem/cephalosporin/penam	OXA-160	WP_063861093.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
109	OXA-215	OXA-215	AEV91554.1	carbapenem/cephalosporin/penam	OXA-215	WP_063861712.1	carbapenem	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
110	OXA-244	OXA-244	AGC60012.1	carbapenem/cephalosporin/penam	OXA-244	WP_032495517.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
111	OXA-175	OXA-175	ADI58619.1	carbapenem/cephalosporin/penam	OXA-175	WP_063861191.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
112	OXA-383	OXA-383	AHL30281.1	carbapenem/cephalosporin/penam	OXA-383	WP_024438993.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
113	OXA-94	OXA-94	ABF47917.1	carbapenem/cephalosporin/penam	OXA-94	WP_029424390.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
114	OXA-92	OXA-92	ABC61637.1	carbapenem/cephalosporin/penam	OXA-92	WP_059262713.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
115	OXA-5	OXA-5	CAA41211.1	carbapenem/cephalosporin/penam	OXA-5	WP_032488483.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
116	OXA-36	OXA-36	AAG24866.1	carbapenem/cephalosporin/penam	OXA	WP_240067729.1	beta-lactam	OXA-2 family class D beta-lactamase
117	OXA-381	OXA-381	AHL30285.1	carbapenem/cephalosporin/penam	OXA-381	WP_063862746.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
118	OXA-316	OXA-316	AGU69254.1	carbapenem/cephalosporin/penam	OXA-316	WP_063862605.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
119	OXA-314	OXA-314	AGU69252.1	carbapenem/cephalosporin/penam	OXA-314	WP_031976872.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
120	OXA-242	OXA-242	AFO55202.1	carbapenem/cephalosporin/penam	OXA-242	WP_001022756.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
121	OXA-104	OXA-104	ABQ52429.1	carbapenem/cephalosporin/penam	OXA-104	WP_024433915.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
122	OXA-100	OXA-100	CAJ77817.2	carbapenem/cephalosporin/penam	OXA-100	WP_001021795.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
123	OXA-418	OXA-418	AIN56719.1	carbapenem/cephalosporin/penam	OXA-418	WP_063862796.1	carbapenem	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
124	OXA-64	OXA-64	AAW81336.1	carbapenem/cephalosporin/penam	OXA-64	WP_001021788.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
125	OXA-356	OXA-356	AGW83454.1	carbapenem/cephalosporin/penam	OXA-356	WP_063862727.1	carbapenem	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
126	OXA-129	OXA-129	CAP69660.1	carbapenem/cephalosporin/penam	OXA-129	WP_032492122.1	beta-lactam	OXA-5 family class D beta-lactamase
127	OXA-333	OXA-333	AGW16415.1	carbapenem/cephalosporin/penam	OXA-333	WP_063862693.1	carbapenem	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
128	OXA-378	OXA-378	AHL30278.1	carbapenem/cephalosporin/penam	OXA-378	WP_032058439.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
129	OXA-112	OXA-112	ABV31692.1	carbapenem/cephalosporin/penam	OXA-112	WP_063860941.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
130	OXA-134	OXA-134	ADM47435.1	carbapenem/cephalosporin/penam	OXA-134	WP_005104969.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
131	OXA-86	OXA-86	AAZ78361.1	carbapenem/cephalosporin/penam	OXA-86	WP_063864539.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
132	OXA-18	OXA-18	AAB58555.1	carbapenem/cephalosporin/penam	OXA-18	WP_063861237.1	cephalosporin	extended-spectrum class D beta-lactamase
133	OXA-255	OXA-255	AGK07369.1	carbapenem/cephalosporin/penam	OXA-255	WP_063862440.1	carbapenem	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
134	OXA-241	OXA-241	AFO55201.1	carbapenem/cephalosporin/penam	OXA-241	WP_057066208.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
135	OXA-365	OXA-365	AHI63011.1	carbapenem/cephalosporin/penam	OXA-365	WP_063862735.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
136	OXA-95	OXA-95	ABF47918.1	carbapenem/cephalosporin/penam	OXA-95	WP_031960432.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
137	OXA-206	OXA-206	BAL15076.1	carbapenem/cephalosporin/penam	OXA-206	WP_063861592.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
138	OXA-384	OXA-384	AHL30282.1	carbapenem/cephalosporin/penam	OXA-384	WP_063862748.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
139	OXA-37	OXA-37	AAG33665.1	carbapenem/cephalosporin/penam	OXA-37	WP_063862737.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
140	OXA-420	OXA-420	BAP28835.1	carbapenem/cephalosporin/penam	OXA-420	WP_063862810.1	carbapenem	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
141	OXA-161	OXA-161	ACT09125.1	carbapenem/cephalosporin/penam	OXA-161	WP_063861101.1	cephalosporin	OXA-2 family extended-spectrum class D beta-lactamase
142	OXA-323	OXA-323	AGW16405.1	carbapenem/cephalosporin/penam	OXA-323	WP_063862638.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
143	OXA-253	OXA-253	AGK07368.1	carbapenem/cephalosporin/penam	OXA-253	WP_032495764.1	carbapenem	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
144	OXA-48	OXA-48	AAP70012.1	carbapenem/cephalosporin/penam	OXA-48	WP_015059991.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
145	OXA-245	OXA-245	AGC60013.1	carbapenem/cephalosporin/penam	OXA-245	WP_032495518.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
146	OXA-58	OXA-58	ACC58995.1	carbapenem/cephalosporin/penam	OXA-58	WP_002002480.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
147	OXA-435	OXA-435	AJT57878.1	carbapenem/cephalosporin/penam	OXA-435	WP_063864078.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
148	OXA-2	OXA-2	AAB59082.1	carbapenem/cephalosporin/penam	OXA-2	WP_001007673.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
149	OXA-180	OXA-180	ADM26745.1	carbapenem/cephalosporin/penam	OXA-180	WP_001021783.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
150	OXA-184	OXA-184	AFO09968.1	carbapenem/cephalosporin/penam	OXA-184	WP_002872405.1	beta-lactam	OXA-184 family class D beta-lactamase
151	OXA-23	OXA-23	AAV65289.1	carbapenem/cephalosporin/penam	OXA-23	WP_001046004.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
152	OXA-88	OXA-88	ABD48715.1	carbapenem/cephalosporin/penam	OXA-88	WP_063864540.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
153	OXA-169	OXA-169	ADK35873.1	carbapenem/cephalosporin/penam	OXA-169	WP_063861140.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
154	OXA-7	OXA-7	CAA53242.1	carbapenem/cephalosporin/penam	OXA-7	WP_063864530.1	beta-lactam	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
155	OXA-363	OXA-363	AHA11126.1	carbapenem/cephalosporin/penam	OXA-363	WP_063862733.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
