Accession	NCBI Family
AGZ83154.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AJO16038.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AEP43731.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AAK52604.1	OXA-1 family extended-spectrum class D beta-lactamase
AGI65307.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
ACX31140.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AFP97030.1	oxacillin-hydrolyzing class D beta-lactamase
ACD84988.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGZ83153.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AEO44980.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADX07747.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW83450.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AHL30280.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ACV49885.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ACY56711.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHL30277.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AFU91598.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
AGW16407.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ABC84263.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAR89917.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
CAC83905.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABF47916.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAC46344.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
AET05998.1	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase
ABV31686.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABV71246.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADK34116.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
AHL30273.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CAP01453.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CCJ32595.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADY06444.1	OXA-48 family extended-spectrum class D beta-lactamase
ACE63186.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AAX51233.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAK58418.1	OXA-2 family extended-spectrum class D beta-lactamase
AFM55001.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
ABW76138.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
ABW76134.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
AHL30272.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABF47919.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
AHA11124.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AGW16410.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AEV91550.1	carbapenem-hydrolyzing class D beta-lactamase
ACO72579.1	OXA-10 family extended-spectrum class D beta-lactamase
AGR55864.1	OXA-1 family class D beta-lactamase
AAW81339.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW83453.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
AGW16414.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83447.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ABS71123.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AFQ90085.1	class D beta-lactamase
AEL17179.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAB05874.1	OXA-2 family extended-spectrum class D beta-lactamase
AAG35607.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
ADK35875.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AFN65709.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ADG27454.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
AET35493.1	class D beta-lactamase
AAD12233.1	benzylpenicillin-hydrolyzing class D beta-lactamase
AAF72942.1	OXA-10 family extended-spectrum class D beta-lactamase
AFH36331.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
ADT70779.1	carbapenem-hydrolyzing class D beta-lactamase
AFK28473.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
AGW83448.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AAU88145.1	oxacillin-hydrolyzing class D beta-lactamase
AGW16406.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
CCA94649.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAC41449.1	OXA-2 family oxacillin-hydrolyzing class D beta-lactamase
ACD45467.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAG35608.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
ADB28891.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
AEV91554.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
AGC60012.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
ADI58619.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHL30281.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABF47917.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABC61637.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CAA41211.1	oxacillin-hydrolyzing class D beta-lactamase
AAG24866.1	OXA-2 family class D beta-lactamase
AHL30285.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGU69254.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGU69252.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AFO55202.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABQ52429.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CAJ77817.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AIN56719.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
AAW81336.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW83454.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
CAP69660.1	OXA-5 family class D beta-lactamase
AGW16415.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
AHL30278.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABV31692.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADM47435.1	carbapenem-hydrolyzing class D beta-lactamase
AAZ78361.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAB58555.1	extended-spectrum class D beta-lactamase
AGK07369.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
AFO55201.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHI63011.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABF47918.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
BAL15076.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHL30282.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAG33665.1	oxacillin-hydrolyzing class D beta-lactamase
BAP28835.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
ACT09125.1	OXA-2 family extended-spectrum class D beta-lactamase
AGW16405.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGK07368.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
AAP70012.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
AGC60013.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
ACC58995.1	carbapenem-hydrolyzing class D beta-lactamase
AJT57878.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AAB59082.1	oxacillin-hydrolyzing class D beta-lactamase
ADM26745.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AFO09968.1	OXA-184 family class D beta-lactamase
AAV65289.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ABD48715.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADK35873.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
CAA53242.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
AHA11126.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AFN20670.1	OXA-10 family class D beta-lactamase
AGZ83156.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AEB98920.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADK92148.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
ADI58620.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW16409.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
CCJ32596.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW83452.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AAB97924.1	OXA-10 family extended-spectrum class D beta-lactamase
AAW81342.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABQ15112.1	OXA-2 family extended-spectrum class D beta-lactamase
CAQ51348.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
AFG29918.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
AIT76118.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
AAN41427.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
AAR03105.1	carbapenem-hydrolyzing class D beta-lactamase
ADZ54048.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
AEE61368.1	OXA-2 family class D beta-lactamase
ABV31690.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABV71248.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AEB98923.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABV31691.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AEV91553.1	carbapenem-hydrolyzing class D beta-lactamase
AAW81337.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADK35874.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AAP43641.1	OXA-2 family extended-spectrum class D beta-lactamase
ADK35870.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AJA32743.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AER57903.1	OXA-10 family class D beta-lactamase
AID67109.1	OXA-10 family carbapenem-hydrolyzing class D beta-lactamase
AEL88491.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGU69251.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHL30286.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABI53716.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGK07370.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
CAA80304.1	OXA-10 family extended-spectrum class D beta-lactamase
ABV31688.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGU69253.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHL30283.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHL30284.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGU69248.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAD02245.1	OXA-10 family extended-spectrum class D beta-lactamase
AAR32134.1	carbapenem-hydrolyzing class D beta-lactamase
ADI58616.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABE03012.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ACD84989.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
BAR45714.1	OXA-10 family class D beta-lactamase
CAG15145.1	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
AEQ73521.1	OXA-1 family class D beta-lactamase
AEM66528.1	class D beta-lactamase
AIY30332.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AAG23871.1	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase
ABF50983.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CCJ32597.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AIZ00987.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AAW81358.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADV41666.1	OXA-10 family class D beta-lactamase
AEO92079.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
ABF47914.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABI63579.1	OXA-10 family extended-spectrum class D beta-lactamase
AAG45720.1	oxacillin-hydrolyzing class D beta-lactamase
AAM34291.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
CAL85435.1	OXA-10 family class D beta-lactamase
CAH69530.1	OXA-10 family class D beta-lactamase
AHA11125.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
ADM26744.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADX07748.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CCE73593.2	class D beta-lactamase
AHL30275.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAP40270.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AAK15582.1	oxacillin-hydrolyzing class D beta-lactamase
AGU69255.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW83451.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ABY79006.1	OXA-10 family extended-spectrum class D beta-lactamase
AAW22056.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AIT76095.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AFM55002.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
CAD32564.1	oxacillin-hydrolyzing class D beta-lactamase
AFH36330.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AIG94927.1	OXA-2 family class D beta-lactamase
AGZ83155.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AHN07454.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
BAN10684.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW16408.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AGW83449.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ABO33299.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
AAR32651.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
ADI58621.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ACI28281.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AGW16416.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
ADK35872.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ABV31687.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHX74209.1	OXA-10 family extended-spectrum class D beta-lactamase
AAW81341.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHL30274.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADX07746.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAX51234.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABY77907.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGU69250.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ACC55538.1	oxacillin-hydrolyzing class D beta-lactamase
AHK51384.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADK35869.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ABV31689.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABK34774.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHL30287.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AEB98922.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADB28892.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
ABV71247.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABX38721.1	class D beta-lactamase
AHL30279.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AHC31001.1	OXA-10 family class D beta-lactamase
AAQ76277.1	oxacillin-hydrolyzing class D beta-lactamase
AAK55330.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
AFB82783.1	oxacillin-hydrolyzing class D beta-lactamase
CAC35728.1	oxacillin-hydrolyzing class D beta-lactamase
AAP69225.1	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase
ABW95047.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ACX31141.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADX07745.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGC70814.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
CCW28916.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
CCJ32598.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW16417.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AHF71363.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
AEV91552.1	carbapenem-hydrolyzing class D beta-lactamase
ACD84990.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ABC26006.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ADI58617.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AJA32742.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGW16404.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
CAF74882.1	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
AGW16413.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_032865068.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
ALL53530.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENX60508.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
AHN07464.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKR53961.1	OXA-48 family extended-spectrum class D beta-lactamase
ALC79292.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
AFR53898.2	OXA-364 family class D beta-lactamase
AKR53962.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ALC79293.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
AMB19637.1	OXA-10 family class D beta-lactamase
ENW94121.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
AIG22448.1	carbapenem-hydrolyzing class D beta-lactamase
AFZ84684.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ALC79294.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
ENU21024.1	class D beta-lactamase
ENX53612.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
CDM87362.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
AKU37610.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032877719.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
AAN41430.1	OXA-1 family class D beta-lactamase
ENU93232.1	class D beta-lactamase
AIS39036.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
PLT17746.1	OXA-22 family class D beta-lactamase
AKF41839.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AIS39035.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENW35072.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENX19403.1	OXA-294 family class D beta-lactamase
AIS39034.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
BAQ55594.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
AKF41840.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ALL27283.1	oxacillin-hydrolyzing class D beta-lactamase
ENW50687.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENX09209.1	OXA-294 family class D beta-lactamase
AIM47095.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENV88740.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ENW43915.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENX40034.1	OXA-294 family class D beta-lactamase
AIM47096.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKI29907.1	OXA-184 family class D beta-lactamase
ALI16502.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
ABX45061.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENW20318.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
ENV82218.1	class D beta-lactamase
AJA30430.1	OXA-48 family extended-spectrum class D beta-lactamase
AKI29908.1	OXA-184 family class D beta-lactamase
KSG40284.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
ABX45062.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
RFX69805.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
ENV20093.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
AJD07402.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKI29909.1	OXA-184 family class D beta-lactamase
QBY97442.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
ABX45063.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENV38192.1	class D beta-lactamase
ENV90372.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
AJD07403.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKI29910.1	OXA-184 family class D beta-lactamase
AKI29919.1	OXA-61 family class D beta-lactamase
TKV86805.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
ABX45064.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENV93423.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENX18112.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
AJD07404.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKI29914.1	OXA-61 family class D beta-lactamase
ALC76097.1	OXA-364 family class D beta-lactamase
ABX45065.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ARX76025.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
AOQ26572.1	OXA-48 family class D beta-lactamase
ABX45066.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ENU09033.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
EOQ63861.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENX56371.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
AJD07405.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKI29916.1	OXA-61 family class D beta-lactamase
ALC76098.1	class D beta-lactamase
SUA76968.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
EOQ69512.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENX45276.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AJD07406.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKI29917.1	OXA-61 family class D beta-lactamase
ALC76100.1	class D beta-lactamase
ALA99186.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
EOQ72432.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENV02983.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AJD07407.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ALC76101.1	class D beta-lactamase
CFB60580.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
ENW16915.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
ENX38336.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
AJD07408.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
ATL95930.1	OXA-61 family class D beta-lactamase
SNU87672.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
ENW12288.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AJD07401.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AKI29921.1	OXA-61 family class D beta-lactamase
ALA99189.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
ENV18923.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
ENV32314.1	class D beta-lactamase
AKH90740.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
ANW35663.1	class D beta-lactamase
SUA92210.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
ENV13583.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AHN07452.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862927.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AIU44173.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AKI29912.1	OXA-184 family class D beta-lactamase
EOR02560.1	carbapenem-hydrolyzing class D beta-lactamase
EPF70268.1	carbapenem-hydrolyzing class D beta-lactamase
