	NCBI Sequence ID	NCBI Sequence Accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class
52	OXA-176	WP_063861208.1	OXA-176	WP_063861208.1	carbapenem	OXA-176	ADI58620.1	carbapenem/cephalosporin/penam
53	OXA-177	WP_063861213.1	OXA-177	WP_063861213.1	carbapenem	OXA-177	ADI58621.1	carbapenem/cephalosporin/penam
54	OXA-178	WP_063861221.1	OXA-178	WP_063861221.1	carbapenem	OXA-178	ADI58622.1	carbapenem/cephalosporin/penam
55	OXA-179	WP_063861229.1	OXA-179	WP_063861229.1	carbapenem	OXA-179	ADM26744.1	carbapenem/cephalosporin/penam
56	OXA-18	WP_063861237.1	OXA-18	WP_063861237.1	cephalosporin	OXA-18	AAB58555.1	carbapenem/cephalosporin/penam
57	OXA-182	WP_063861266.1	OXA-182	WP_063861266.1	carbapenem	OXA-182	ADK92148.1	carbapenem/cephalosporin/penam
58	OXA-183	WP_063861272.1	OXA-183	WP_063861272.1	beta-lactam	OXA-183	ADV41666.1	carbapenem/cephalosporin/penam
59	OXA-185	WP_063861300.1	OXA-185	WP_063861300.1	beta-lactam	OXA-185	AFO09969.1	carbapenem/cephalosporin/penam
60	OXA-19	WP_063861309.1	OXA-19	WP_063861309.1	cephalosporin	OXA-19	AAD02245.1	carbapenem/cephalosporin/penam
61	OXA-192	WP_063861316.1	OXA-192	WP_063861316.1	beta-lactam	OXA-192	ADZ54048.1	carbapenem/cephalosporin/penam
62	OXA-194	WP_063861475.1	OXA-194	WP_063861475.1	carbapenem	OXA-194	AEB98920.1	carbapenem/cephalosporin/penam
63	OXA-195	WP_063861482.1	OXA-195	WP_063861482.1	carbapenem	OXA-195	AEB98921.1	carbapenem/cephalosporin/penam
64	OXA-196	WP_063861486.1	OXA-196	WP_063861486.1	carbapenem	OXA-196	AEB98922.1	carbapenem/cephalosporin/penam
65	OXA-197	WP_063861490.1	OXA-197	WP_063861490.1	carbapenem	OXA-197	AEB98923.1	carbapenem/cephalosporin/penam
66	OXA-199	WP_063861505.1	OXA-199	WP_063861505.1	carbapenem	OXA-199	AFC95894.1	carbapenem/cephalosporin/penam
67	OXA-200	WP_063861547.1	OXA-200	WP_063861547.1	carbapenem	OXA-200	ADX07745.1	carbapenem/cephalosporin/penam
68	OXA-201	WP_063861553.1	OXA-201	WP_063861553.1	carbapenem	OXA-201	ADX07746.1	carbapenem/cephalosporin/penam
69	OXA-202	WP_063861560.1	OXA-202	WP_063861560.1	carbapenem	OXA-202	ADX07747.1	carbapenem/cephalosporin/penam
70	OXA-203	WP_063861567.1	OXA-203	WP_063861567.1	carbapenem	OXA-203	ADX07748.1	carbapenem/cephalosporin/penam
71	OXA-205	WP_063861588.1	OXA-205	WP_063861588.1	beta-lactam	OXA-205	AEO92079.1	carbapenem/cephalosporin/penam
72	OXA-206	WP_063861592.1	OXA-206	WP_063861592.1	carbapenem	OXA-206	BAL15076.1	carbapenem/cephalosporin/penam
73	OXA-210	WP_063861649.1	OXA-210	WP_063861649.1	beta-lactam	OXA-210	AEE61368.1	carbapenem/cephalosporin/penam
74	OXA-211	WP_063861666.1	OXA-211	WP_063861666.1	carbapenem	OXA-211	AEV91550.1	carbapenem/cephalosporin/penam
75	OXA-212	WP_063861677.1	OXA-212	WP_063861677.1	carbapenem	OXA-212	AEV91551.1	carbapenem/cephalosporin/penam
76	OXA-215	WP_063861712.1	OXA-215	WP_063861712.1	carbapenem	OXA-215	AEV91554.1	carbapenem/cephalosporin/penam
77	OXA-216	WP_063861733.1	OXA-216	WP_063861733.1	carbapenem	OXA-216	CCA94649.1	carbapenem/cephalosporin/penam
78	OXA-219	WP_063861765.1	OXA-219	WP_063861765.1	carbapenem	OXA-219	AEL17179.1	carbapenem/cephalosporin/penam
79	OXA-22	WP_063861776.1	OXA-22	WP_063861776.1	beta-lactam	OXA-22	AAD12233.1	carbapenem/cephalosporin/penam
80	OXA-224	WP_063861812.1	OXA-224	WP_063861812.1	beta-lactam	OXA-224	AEQ73521.1	carbapenem/cephalosporin/penam
81	OXA-225	WP_063861820.1	OXA-225	WP_063861820.1	carbapenem	OXA-225	AEP43731.1	carbapenem/cephalosporin/penam
82	OXA-226	WP_063861826.1	OXA-226	WP_063861826.1	cephalosporin	OXA-226	ACM67635.1	carbapenem/cephalosporin/penam
83	OXA-228	WP_063861837.1	OXA-228	WP_063861837.1	carbapenem	OXA-228	AFM55001.1	carbapenem/cephalosporin/penam
84	OXA-229	WP_063861840.1	OXA-229	WP_063861840.1	carbapenem	OXA-229	AFM55000.1	carbapenem/cephalosporin/penam
85	OXA-230	WP_063862119.1	OXA-230	WP_063862119.1	carbapenem	OXA-230	AFM55002.1	carbapenem/cephalosporin/penam
86	OXA-231	WP_063862128.1	OXA-231	WP_063862128.1	carbapenem	OXA-231	AFG29918.1	carbapenem/cephalosporin/penam
87	OXA-233	WP_063862149.1	OXA-233	WP_063862149.1	carbapenem	OXA-233	AID67109.1	carbapenem/cephalosporin/penam
88	OXA-236	WP_063862170.1	OXA-236	WP_063862170.1	carbapenem	OXA-236	AFH36332.1	carbapenem/cephalosporin/penam
89	OXA-239	WP_063862190.1	OXA-239	WP_063862190.1	carbapenem	OXA-239	AFN65709.1	carbapenem/cephalosporin/penam
90	OXA-240	WP_063862274.1	OXA-240	WP_063862274.1	beta-lactam	OXA-240	AFN20670.1	carbapenem/cephalosporin/penam
91	OXA-246	WP_063862394.1	OXA-246	WP_063862394.1	beta-lactam	OXA-246	AHC31001.1	carbapenem/cephalosporin/penam
92	OXA-248	WP_063862402.1	OXA-248	WP_063862402.1	carbapenem	OXA-248	CCJ32596.1	carbapenem/cephalosporin/penam
93	OXA-249	WP_063862408.1	OXA-249	WP_063862408.1	carbapenem	OXA-249	CCJ32597.1	carbapenem/cephalosporin/penam
94	OXA-25	WP_063862416.1	OXA-25	WP_063862416.1	carbapenem	OXA-25	AAG35607.1	carbapenem/cephalosporin/penam
95	OXA-250	WP_063862420.1	OXA-250	WP_063862420.1	carbapenem	OXA-250	CCJ32598.1	carbapenem/cephalosporin/penam
96	OXA-251	WP_063862430.1	OXA-251	WP_063862430.1	beta-lactam	OXA-251	AER57903.1	carbapenem/cephalosporin/penam
97	OXA-255	WP_063862440.1	OXA-255	WP_063862440.1	carbapenem	OXA-255	AGK07369.1	carbapenem/cephalosporin/penam
98	OXA-257	WP_063862441.1	OXA-257	WP_063862441.1	carbapenem	OXA-257	AGK07370.1	carbapenem/cephalosporin/penam
99	OXA-26	WP_063862442.1	OXA-26	WP_063862442.1	carbapenem	OXA-26	AAG35608.1	carbapenem/cephalosporin/penam
100	OXA-27	WP_063862443.1	OXA-27	WP_063862443.1	carbapenem	OXA-27	AAG35609.2	carbapenem/cephalosporin/penam
101	OXA-3	WP_063862540.1	OXA-3	WP_063862540.1	beta-lactam	OXA-3	AAC41449.1	carbapenem/cephalosporin/penam
102	OXA-309	WP_063862593.1	OXA-309	WP_063862593.1	carbapenem	OXA-309	CCW28916.1	carbapenem/cephalosporin/penam
103	OXA-313	WP_063862598.1	OXA-313	WP_063862598.1	carbapenem	OXA-313	AGU69251.1	carbapenem/cephalosporin/penam
104	OXA-315	WP_063862603.1	OXA-315	WP_063862603.1	carbapenem	OXA-315	AGU69253.1	carbapenem/cephalosporin/penam
105	OXA-316	WP_063862605.1	OXA-316	WP_063862605.1	carbapenem	OXA-316	AGU69254.1	carbapenem/cephalosporin/penam
106	OXA-32	WP_063862613.1	OXA-32	WP_063862613.1	cephalosporin	OXA-32	AAK58418.1	carbapenem/cephalosporin/penam
107	OXA-320	WP_063862622.1	OXA-320	WP_063862622.1	beta-lactam	OXA-320	AGR55864.1	carbapenem/cephalosporin/penam
108	OXA-322	WP_063862632.1	OXA-322	WP_063862632.1	carbapenem	OXA-322	AGW16404.1	carbapenem/cephalosporin/penam
109	OXA-323	WP_063862638.1	OXA-323	WP_063862638.1	carbapenem	OXA-323	AGW16405.1	carbapenem/cephalosporin/penam
110	OXA-324	WP_063862643.1	OXA-324	WP_063862643.1	carbapenem	OXA-324	AGW16406.1	carbapenem/cephalosporin/penam
111	OXA-325	WP_063862646.1	OXA-325	WP_063862646.1	carbapenem	OXA-325	AGW16407.1	carbapenem/cephalosporin/penam
112	OXA-326	WP_063862651.1	OXA-326	WP_063862651.1	carbapenem	OXA-326	AGW16408.1	carbapenem/cephalosporin/penam
113	OXA-327	WP_063862656.1	OXA-327	WP_063862656.1	carbapenem	OXA-327	AGW16409.1	carbapenem/cephalosporin/penam
114	OXA-328	WP_063862662.1	OXA-328	WP_063862662.1	carbapenem	OXA-328	AGW16410.1	carbapenem/cephalosporin/penam
115	OXA-329	WP_063862667.1	OXA-329	WP_063862667.1	carbapenem	OXA-329	AGW16411.1	carbapenem/cephalosporin/penam
116	OXA-330	WP_063862674.1	OXA-330	WP_063862674.1	carbapenem	OXA-330	AGW16412.1	carbapenem/cephalosporin/penam
117	OXA-331	WP_063862682.1	OXA-331	WP_063862682.1	carbapenem	OXA-331	AGW16413.1	carbapenem/cephalosporin/penam
118	OXA-332	WP_063862690.1	OXA-332	WP_063862690.1	carbapenem	OXA-332	AGW16414.1	carbapenem/cephalosporin/penam
119	OXA-333	WP_063862693.1	OXA-333	WP_063862693.1	carbapenem	OXA-333	AGW16415.1	carbapenem/cephalosporin/penam
120	OXA-334	WP_063862698.1	OXA-334	WP_063862698.1	carbapenem	OXA-334	AGW16416.1	carbapenem/cephalosporin/penam
121	OXA-335	WP_063862702.1	OXA-335	WP_063862702.1	carbapenem	OXA-335	AGW16417.1	carbapenem/cephalosporin/penam
122	OXA-336	WP_063862707.1	OXA-336	WP_063862707.1	carbapenem	OXA-336	AHN07452.1	carbapenem/cephalosporin/penam
123	OXA-338	WP_063862710.1	OXA-338	WP_063862710.1	carbapenem	OXA-338	AHN07454.1	carbapenem/cephalosporin/penam
124	OXA-339	WP_063862711.1	OXA-339	WP_063862711.1	carbapenem	OXA-339	AHN07456.1	carbapenem/cephalosporin/penam
125	OXA-341	WP_063862712.1	OXA-341	WP_063862712.1	carbapenem	OXA-341	AHN07458.1	carbapenem/cephalosporin/penam
126	OXA-342	WP_063862713.1	OXA-342	WP_063862713.1	carbapenem	OXA-342	AHN07460.1	carbapenem/cephalosporin/penam
127	OXA-343	WP_063862714.1	OXA-343	WP_063862714.1	carbapenem	OXA-343	PCE45447.1	carbapenem/cephalosporin/penam
128	OXA-344	WP_063862715.1	OXA-344	WP_063862715.1	carbapenem	OXA-344	AHN07462.1	carbapenem/cephalosporin/penam
129	OXA-345	WP_063862716.1	OXA-345	WP_063862716.1	carbapenem	OXA-345	AHN07463.1	carbapenem/cephalosporin/penam
130	OXA-346	WP_063862717.1	OXA-346	WP_063862717.1	carbapenem	OXA-346	AHN07464.1	carbapenem/cephalosporin/penam
131	OXA-348	WP_063862718.1	OXA-348	WP_063862718.1	carbapenem	OXA-348	AGW83446.1	carbapenem/cephalosporin/penam
132	OXA-349	WP_063862719.1	OXA-349	WP_063862719.1	carbapenem	OXA-349	AGW83447.1	carbapenem/cephalosporin/penam
133	OXA-35	WP_063862720.1	OXA-35	WP_063862720.1	cephalosporin	OXA-35	AAK49460.1	carbapenem/cephalosporin/penam
134	OXA-350	WP_063862721.1	OXA-350	WP_063862721.1	carbapenem	OXA-350	AGW83448.1	carbapenem/cephalosporin/penam
135	OXA-351	WP_063862722.1	OXA-351	WP_063862722.1	carbapenem	OXA-351	AGW83449.1	carbapenem/cephalosporin/penam
136	OXA-352	WP_063862723.1	OXA-352	WP_063862723.1	carbapenem	OXA-352	AGW83450.1	carbapenem/cephalosporin/penam
137	OXA-353	WP_063862724.1	OXA-353	WP_063862724.1	carbapenem	OXA-353	AGW83451.1	carbapenem/cephalosporin/penam
138	OXA-354	WP_063862725.1	OXA-354	WP_063862725.1	carbapenem	OXA-354	AGW83452.1	carbapenem/cephalosporin/penam
139	OXA-355	WP_063862726.1	OXA-355	WP_063862726.1	carbapenem	OXA-355	AGW83453.1	carbapenem/cephalosporin/penam
140	OXA-356	WP_063862727.1	OXA-356	WP_063862727.1	carbapenem	OXA-356	AGW83454.1	carbapenem/cephalosporin/penam
141	OXA-357	WP_063862728.1	OXA-357	WP_063862728.1	carbapenem	OXA-357	AGZ83153.1	carbapenem/cephalosporin/penam
142	OXA-358	WP_063862729.1	OXA-358	WP_063862729.1	carbapenem	OXA-358	AGZ83154.1	carbapenem/cephalosporin/penam
143	OXA-359	WP_063862730.1	OXA-359	WP_063862730.1	carbapenem	OXA-359	AGZ83155.1	carbapenem/cephalosporin/penam
144	OXA-361	WP_063862731.1	OXA-361	WP_063862731.1	carbapenem	OXA-361	AHA11124.1	carbapenem/cephalosporin/penam
145	OXA-362	WP_063862732.1	OXA-362	WP_063862732.1	carbapenem	OXA-362	AHA11125.1	carbapenem/cephalosporin/penam
146	OXA-363	WP_063862733.1	OXA-363	WP_063862733.1	carbapenem	OXA-363	AHA11126.1	carbapenem/cephalosporin/penam
147	OXA-364	WP_063862734.1	OXA-364	WP_063862734.1	beta-lactam	OXA-364	AFR53898.2	carbapenem/cephalosporin/penam
148	OXA-365	WP_063862735.1	OXA-365	WP_063862735.1	carbapenem	OXA-365	AHI63011.1	carbapenem/cephalosporin/penam
149	OXA-366	WP_063862736.1	OXA-366	WP_063862736.1	carbapenem	OXA-366	AJO16038.1	carbapenem/cephalosporin/penam
150	OXA-37	WP_063862737.1	OXA-37	WP_063862737.1	beta-lactam	OXA-37	AAG33665.1	carbapenem/cephalosporin/penam
151	OXA-371	WP_063862738.1	OXA-371	WP_063862738.1	carbapenem	OXA-371	BAO09635.1	carbapenem/cephalosporin/penam
152	OXA-372	WP_063862739.1	OXA-372	WP_063862739.1	carbapenem	OXA-372	AIG22448.1	carbapenem/cephalosporin/penam
153	OXA-373	WP_063862740.1	OXA-373	WP_063862740.1	carbapenem	OXA-373	CDM87362.1	carbapenem/cephalosporin/penam
154	OXA-375	WP_063862741.1	OXA-375	WP_063862741.1	carbapenem	OXA-375	AHL30275.1	carbapenem/cephalosporin/penam
155	OXA-376	WP_063862742.1	OXA-376	WP_063862742.1	carbapenem	OXA-376	AHL30276.1	carbapenem/cephalosporin/penam
156	OXA-377	WP_063862743.1	OXA-377	WP_063862743.1	carbapenem	OXA-377	AHL30277.1	carbapenem/cephalosporin/penam
157	OXA-379	WP_063862744.1	OXA-379	WP_063862744.1	carbapenem	OXA-379	AHL30279.1	carbapenem/cephalosporin/penam
158	OXA-380	WP_063862745.1	OXA-380	WP_063862745.1	carbapenem	OXA-380	AHL30280.1	carbapenem/cephalosporin/penam
159	OXA-381	WP_063862746.1	OXA-381	WP_063862746.1	carbapenem	OXA-381	AHL30285.1	carbapenem/cephalosporin/penam
160	OXA-382	WP_063862747.1	OXA-382	WP_063862747.1	carbapenem	OXA-382	AHL30286.1	carbapenem/cephalosporin/penam
161	OXA-384	WP_063862748.1	OXA-384	WP_063862748.1	carbapenem	OXA-384	AHL30282.1	carbapenem/cephalosporin/penam
162	OXA-385	WP_063862749.1	OXA-385	WP_063862749.1	carbapenem	OXA-385	AHL30272.1	carbapenem/cephalosporin/penam
163	OXA-386	WP_063862750.1	OXA-386	WP_063862750.1	carbapenem	OXA-386	AHL30273.1	carbapenem/cephalosporin/penam
164	OXA-387	WP_063862751.1	OXA-387	WP_063862751.1	carbapenem	OXA-387	AHK51384.1	carbapenem/cephalosporin/penam
165	OXA-388	WP_063862752.1	OXA-388	WP_063862752.1	carbapenem	OXA-388	AHL30284.1	carbapenem/cephalosporin/penam
166	OXA-389	WP_063862753.1	OXA-389	WP_063862753.1	carbapenem	OXA-389	AHL30287.1	carbapenem/cephalosporin/penam
167	OXA-390	WP_063862754.1	OXA-390	WP_063862754.1	carbapenem	OXA-390	AHL30283.1	carbapenem/cephalosporin/penam
168	OXA-391	WP_063862755.1	OXA-391	WP_063862755.1	carbapenem	OXA-391	AHN53381.1	carbapenem/cephalosporin/penam
169	OXA-397	WP_063862756.1	OXA-397	WP_063862756.1	carbapenem	OXA-397	AIT76118.1	carbapenem/cephalosporin/penam
170	OXA-398	WP_063862757.1	OXA-398	WP_063862757.1	carbapenem	OXA-398	AIT76095.1	carbapenem/cephalosporin/penam
171	OXA-400	WP_063862758.1	OXA-400	WP_063862758.1	carbapenem	OXA-400	AIS39036.1	carbapenem/cephalosporin/penam
172	OXA-401	WP_063862759.1	OXA-401	WP_063862759.1	carbapenem	OXA-401	AIS39034.1	carbapenem/cephalosporin/penam
173	OXA-403	WP_063862760.1	OXA-403	WP_063862760.1	carbapenem	OXA-403	AIM47095.1	carbapenem/cephalosporin/penam
174	OXA-404	WP_063862761.1	OXA-404	WP_063862761.1	carbapenem	OXA-404	AIM47096.1	carbapenem/cephalosporin/penam
175	OXA-405	WP_063862762.1	OXA-405	WP_063862762.1	cephalosporin	OXA-405	AJA30430.1	carbapenem/cephalosporin/penam
176	OXA-406	WP_063862763.1	OXA-406	WP_063862763.1	carbapenem	OXA-406	AJD07402.1	carbapenem/cephalosporin/penam
177	OXA-408	WP_063862764.1	OXA-408	WP_063862764.1	carbapenem	OXA-408	AJD07404.1	carbapenem/cephalosporin/penam
178	OXA-409	WP_063862765.1	OXA-409	WP_063862765.1	carbapenem	OXA-409	AJD07405.1	carbapenem/cephalosporin/penam
179	OXA-411	WP_063862766.1	OXA-411	WP_063862766.1	carbapenem	OXA-411	AJD07406.1	carbapenem/cephalosporin/penam
180	OXA-412	WP_063862767.1	OXA-412	WP_063862767.1	carbapenem	OXA-412	AJD07407.1	carbapenem/cephalosporin/penam
181	OXA-413	WP_063862768.1	OXA-413	WP_063862768.1	carbapenem	OXA-413	AJD07408.1	carbapenem/cephalosporin/penam
182	OXA-414	WP_063862769.1	OXA-414	WP_063862769.1	carbapenem	OXA-414	AJD07401.1	carbapenem/cephalosporin/penam
183	OXA-416	WP_063862782.1	OXA-416	WP_063862782.1	carbapenem	OXA-416	AKH90740.1	carbapenem/cephalosporin/penam
184	OXA-418	WP_063862796.1	OXA-418	WP_063862796.1	carbapenem	OXA-418	AIN56719.1	carbapenem/cephalosporin/penam
185	OXA-42	WP_063862802.1	OXA-42	WP_063862802.1	beta-lactam	OXA-42	CAD32564.1	carbapenem/cephalosporin/penam
186	OXA-420	WP_063862810.1	OXA-420	WP_063862810.1	carbapenem	OXA-420	BAP28835.1	carbapenem/cephalosporin/penam
187	OXA-422	WP_063862828.1	OXA-422	WP_063862828.1	carbapenem	OXA-422	AIY30331.1	carbapenem/cephalosporin/penam
188	OXA-423	WP_063862833.1	OXA-423	WP_063862833.1	carbapenem	OXA-423	AIY30332.1	carbapenem/cephalosporin/penam
189	OXA-429	WP_063862915.1	OXA-429	WP_063862915.1	carbapenem	OXA-429	AJG01375.1	carbapenem/cephalosporin/penam
190	OXA-43	WP_063862921.1	OXA-43	WP_063862921.1	beta-lactam	OXA-43	CAD32565.1	carbapenem/cephalosporin/penam
191	OXA-430	WP_063862927.1	OXA-430	WP_063862927.1	carbapenem	OXA-430	WP_063862927.1	carbapenem/cephalosporin/penam
192	OXA-431	WP_063862945.1	OXA-431	WP_063862945.1	carbapenem	OXA-431	AJG01377.1	carbapenem/cephalosporin/penam
193	OXA-432	WP_063864076.1	OXA-432	WP_063864076.1	carbapenem	OXA-432	AJG01378.1	carbapenem/cephalosporin/penam
194	OXA-433	WP_063864077.1	OXA-433	WP_063864077.1	carbapenem	OXA-433	AJG01379.1	carbapenem/cephalosporin/penam
195	OXA-435	WP_063864078.1	OXA-435	WP_063864078.1	carbapenem	OXA-435	AJT57878.1	carbapenem/cephalosporin/penam
196	OXA-437	WP_063864079.1	OXA-437	WP_063864079.1	carbapenem	OXA-437	AKL59536.1	carbapenem/cephalosporin/penam
197	OXA-438	WP_063864080.1	OXA-438	WP_063864080.1	carbapenem	OXA-438	AKL59521.1	carbapenem/cephalosporin/penam
198	OXA-439	WP_063864081.1	OXA-439	WP_063864081.1	beta-lactam	OXA-439	AKR53961.1	carbapenem/cephalosporin/penam
199	OXA-440	WP_063864082.1	OXA-440	WP_063864082.1	carbapenem	OXA-440	AKR53962.1	carbapenem/cephalosporin/penam
