Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
1028106065|WP_063861041.1|1|1|blaOXA-142|blaOXA-10_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-10_family_extended-spectrum_class_D_beta-lactamase_OXA-142	blaOXA-142	OXA-10 family extended-spectrum class D beta-lactamase OXA-142	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_063861041.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-142	NF000386.2	OXA-10 family class D beta-lactamase
1028106067|WP_063861042.1|1|1|blaOXA-143|blaOXA-143_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-143	blaOXA-143	carbapenem-hydrolyzing class D beta-lactamase OXA-143	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063861042.1	carbapenem-hydrolyzing class D beta-lactamase OXA-143	NF000464.2	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
1028106069|WP_063861043.1|1|1|blaOXA-145|blaOXA-10_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-10_family_extended-spectrum_class_D_beta-lactamase_OXA-145	blaOXA-145	OXA-10 family extended-spectrum class D beta-lactamase OXA-145	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	265	265	100.00	100.00	265	WP_063861043.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-145	NF000386.2	OXA-10 family class D beta-lactamase
1028106070|WP_063861044.1|1|1|blaOXA-146|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-146	blaOXA-146	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-146	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861044.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-146	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106072|WP_063861045.1|1|1|blaOXA-147|blaOXA-10_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-10_family_extended-spectrum_class_D_beta-lactamase_OXA-147	blaOXA-147	OXA-10 family extended-spectrum class D beta-lactamase OXA-147	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_063861045.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-147	NF000386.2	OXA-10 family class D beta-lactamase
1028106074|WP_063861046.1|1|1|blaOXA-148|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-148	blaOXA-148	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-148	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861046.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-148	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106075|WP_063861047.1|1|1|blaOXA-149|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-149	blaOXA-149	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-149	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861047.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-149	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106077|WP_063861048.1|1|1|blaOXA-15|blaOXA-2_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-2_family_extended-spectrum_class_D_beta-lactamase_OXA-15	blaOXA-15	OXA-2 family extended-spectrum class D beta-lactamase OXA-15	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_063861048.1	OXA-2 family extended-spectrum class D beta-lactamase OXA-15	NF000267.2	OXA-2 family class D beta-lactamase
1028106078|WP_063861049.1|1|1|blaOXA-150|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-150	blaOXA-150	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-150	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861049.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-150	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106080|WP_063861050.1|1|1|blaOXA-152|blaOXA-62_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-62_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-152	blaOXA-152	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-152	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	285	285	100.00	100.00	285	WP_063861050.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-152	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
1028106093|WP_063861062.1|1|1|blaOXA-154|blaOXA-62_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-62_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-154	blaOXA-154	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-154	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	292	292	100.00	100.00	292	WP_063861062.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-154	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
1028106098|WP_063861067.1|1|1|blaOXA-155|blaOXA-62_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-62_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-155	blaOXA-155	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-155	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	292	292	100.00	100.00	292	WP_063861067.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-155	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
1028106114|WP_063861081.1|1|1|blaOXA-158|blaOXA-62_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-62_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-158	blaOXA-158	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-158	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	283	283	100.00	100.00	283	WP_063861081.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-158	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
1028106120|WP_063861087.1|1|1|blaOXA-159|blaOXA-62_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-62_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-159	blaOXA-159	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-159	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	283	283	100.00	100.00	283	WP_063861087.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-159	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
1028106127|WP_063861093.1|1|1|blaOXA-160|blaOXA-24_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-24_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-160	blaOXA-160	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-160	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063861093.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-160	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
1028106136|WP_063861101.1|1|1|blaOXA-161|blaOXA-2_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-2_family_extended-spectrum_class_D_beta-lactamase_OXA-161	blaOXA-161	OXA-2 family extended-spectrum class D beta-lactamase OXA-161	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_063861101.1	OXA-2 family extended-spectrum class D beta-lactamase OXA-161	NF000267.2	OXA-2 family class D beta-lactamase
1028106158|WP_063861121.1|1|1|blaOXA-164|blaOXA-58_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-58_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-164	blaOXA-164	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-164	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_063861121.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-164	NF000500.2	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
1028106161|WP_063861123.1|1|1|blaOXA-165|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-165	blaOXA-165	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-165	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861123.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-165	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106167|WP_063861129.1|1|1|blaOXA-166|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-166	blaOXA-166	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-166	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861129.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-166	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106172|WP_063861133.1|1|1|blaOXA-167|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-167	blaOXA-167	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-167	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861133.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-167	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106177|WP_063861136.1|1|1|blaOXA-168|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-168	blaOXA-168	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-168	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861136.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-168	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106181|WP_063861140.1|1|1|blaOXA-169|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-169	blaOXA-169	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-169	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861140.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-169	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106193|WP_063861151.1|1|1|blaOXA-170|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-170	blaOXA-170	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-170	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861151.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-170	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106200|WP_063861157.1|1|1|blaOXA-171|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-171	blaOXA-171	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-171	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861157.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-171	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106226|WP_063861179.1|1|1|blaOXA-173|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-173	blaOXA-173	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-173	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861179.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-173	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106233|WP_063861185.1|1|1|blaOXA-174|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-174	blaOXA-174	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-174	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861185.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-174	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
