Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gb|AAK49460.1|ARO:3001429|OXA-35	blaOXA-35	OXA-10 family extended-spectrum class D beta-lactamase OXA-35	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_063862720.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-35	NF000386.2	OXA-10 family class D beta-lactamase
gb|AAK52604.1|ARO:3001425|OXA-31	blaOXA-31	OXA-1 family extended-spectrum class D beta-lactamase OXA-31	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	276	276	100.00	100.00	276	WP_032490053.1	OXA-1 family extended-spectrum class D beta-lactamase OXA-31	NF000388.2	OXA-1 family class D beta-lactamase
gb|AAK55330.1|ARO:3001768|OXA-118	blaOXA-118	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-118	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063861020.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-118	NF033104.0	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
gb|AAK58418.1|ARO:3001426|OXA-32	blaOXA-32	OXA-2 family extended-spectrum class D beta-lactamase OXA-32	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_063862613.1	OXA-2 family extended-spectrum class D beta-lactamase OXA-32	NF000267.2	OXA-2 family class D beta-lactamase
gb|AAM34291.1|ARO:3001419|OXA-24	blaOXA-24	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-24	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_012754353.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-24	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAN41427.1|ARO:3001775|OXA-119	blaOXA-119	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-119	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_032490445.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-119	NF033104.0	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
gb|AAN41430.1|ARO:3001578|OXA-392	blaOXA-392	OXA-1 family class D beta-lactamase OXA-392	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_032490448.1	OXA-1 family class D beta-lactamase OXA-392	NF000388.2	OXA-1 family class D beta-lactamase
gb|AAP40270.1|ARO:3001671|OXA-49	blaOXA-49	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-49	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864111.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-49	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAP43641.1|ARO:3001810|OXA-53	blaOXA-53	OXA-2 family extended-spectrum class D beta-lactamase OXA-53	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_063864223.1	OXA-2 family extended-spectrum class D beta-lactamase OXA-53	NF000267.2	OXA-2 family class D beta-lactamase
gb|AAP69225.1|ARO:3001781|OXA-47	blaOXA-47	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase OXA-47	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_063864092.1	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase OXA-47	NF000388.2	OXA-1 family class D beta-lactamase
gb|AAP69916.1|ARO:3001780|OXA-85	blaOXA	OXA-85 family oxacillin-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	254	261	97.32	100.00	254	WP_032835180.1	oxacillin-hydrolyzing class D beta-lactamase OXA-85	NF000502.2	OXA-85 family oxacillin-hydrolyzing class D beta-lactamase
gb|AAP70012.1|ARO:3001782|OXA-48	blaOXA-48	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	265	265	100.00	100.00	265	WP_015059991.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48	NF000387.2	OXA-48 family class D beta-lactamase
gb|AAQ08905.1|ARO:3001808|OXA-60	blaOXA-60	carbapenem-hydrolyzing class D beta-lactamase OXA-60	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	271	271	100.00	100.00	271	WP_063864500.1	carbapenem-hydrolyzing class D beta-lactamase OXA-60	NF000395.3	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAQ76277.1|ARO:3001796|OXA-50	blaOXA-50	oxacillin-hydrolyzing class D beta-lactamase OXA-50	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_003099707.1	oxacillin-hydrolyzing class D beta-lactamase OXA-50	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|AAR03105.1|ARO:3001813|OXA-55	blaOXA-55	carbapenem-hydrolyzing class D beta-lactamase OXA-55	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	289	289	100.00	100.00	289	WP_063864256.1	carbapenem-hydrolyzing class D beta-lactamase OXA-55	NF033667.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAR32134.1|ARO:3001792|OXA-62	blaOXA-62	carbapenem-hydrolyzing class D beta-lactamase OXA-62	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	285	285	100.00	100.00	285	WP_063864527.1	carbapenem-hydrolyzing class D beta-lactamase OXA-62	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAR32651.1|ARO:3001795|OXA-56	blaOXA-56	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-56	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063864264.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-56	NF000386.2	OXA-10 family class D beta-lactamase
gb|AAR89917.1|ARO:3001812|OXA-54	blaOXA-54	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-54	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	265	265	100.00	100.00	265	WP_011071128.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-54	NF000387.2	OXA-48 family class D beta-lactamase
gb|AAT01092.1|ARO:3001773|OXA-61	blaOXA-61	class D beta-lactamase OXA-61	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_002872036.1	class D beta-lactamase OXA-61	NF000435.2	OXA-61 family class D beta-lactamase
gb|AAU88145.1|ARO:3001764|OXA-63	blaOXA-63	oxacillin-hydrolyzing class D beta-lactamase OXA-63	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	268	268	100.00	100.00	268	WP_063864528.1	oxacillin-hydrolyzing class D beta-lactamase OXA-63	NF000429.2	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
gb|AAV65289.1|ARO:3001418|OXA-23	blaOXA-23	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_001046004.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAW22056.1|ARO:3001785|OXA-73	blaOXA-73	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-73	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063864531.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-73	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAW81336.1|ARO:3001613|OXA-64	blaOXA-64	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-64	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021788.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-64	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAW81337.1|ARO:3001614|OXA-65	blaOXA-65	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-65	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021782.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-65	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAW81339.1|ARO:3001616|OXA-68	blaOXA-68	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021775.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-68	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAW81341.1|ARO:3001618|OXA-70	blaOXA-70	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-70	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_032000166.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-70	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAW81342.1|ARO:3001619|OXA-71	blaOXA-71	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-71	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021785.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-71	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAW81358.1|ARO:3001645|OXA-78	blaOXA-78	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-78	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_005139262.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-78	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAX51233.1|ARO:3001622|OXA-77	blaOXA-77	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-77	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864534.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-77	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAX51234.1|ARO:3001621|OXA-76	blaOXA-76	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-76	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864533.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-76	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAZ78361.1|ARO:3001703|OXA-86	blaOXA-86	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-86	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864539.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-86	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABC26006.1|ARO:3001624|OXA-84	blaOXA-84	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-84	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864537.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-84	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABC26007.1|ARO:3001623|OXA-83	blaOXA-83	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-83	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_057046497.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-83	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABC61637.1|ARO:3001632|OXA-92	blaOXA-92	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-92	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_059262713.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-92	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABC84263.1|ARO:3001704|OXA-87	blaOXA-87	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-87	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_032491656.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-87	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABD48715.1|ARO:3001626|OXA-88	blaOXA-88	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-88	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864540.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-88	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABE03012.1|ARO:3001625|OXA-89	blaOXA-89	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-89	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864541.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-89	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABF47914.1|ARO:3001627|OXA-91	blaOXA-91	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-91	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021776.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-91	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABF47916.1|ARO:3001628|OXA-93	blaOXA-93	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-93	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864542.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-93	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABF47917.1|ARO:3001629|OXA-94	blaOXA-94	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-94	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_029424390.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-94	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABF47918.1|ARO:3001630|OXA-95	blaOXA-95	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-95	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_031960432.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-95	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABF47919.1|ARO:3001631|OXA-96	blaOXA-96	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-96	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_063864543.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-96	NF000500.2	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABF50983.1|ARO:3001437|OXA-67	blaOXA-67	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-67	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063864529.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-67	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABI53716.1|ARO:3001649|OXA-99	blaOXA-99	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-99	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_017816859.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-99	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABI63579.1|ARO:3001412|OXA-17	blaOXA-17	OXA-10 family extended-spectrum class D beta-lactamase OXA-17	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_032491804.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-17	NF000386.2	OXA-10 family class D beta-lactamase
gb|ABK34774.1|ARO:3001615|OXA-66	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021792.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABO33299.1|ARO:3001647|OXA-97	blaOXA-97	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-97	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_063864544.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase OXA-97	NF000500.2	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABQ15112.1|ARO:3001802|OXA-141	blaOXA-141	OXA-2 family extended-spectrum class D beta-lactamase OXA-141	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_058177653.1	OXA-2 family extended-spectrum class D beta-lactamase OXA-141	NF000267.2	OXA-2 family class D beta-lactamase
gb|ABQ52429.1|ARO:3001636|OXA-104	blaOXA-104	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-104	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_024433915.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-104	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABS71123.1|ARO:3001440|OXA-115	blaOXA-115	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-115	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861004.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-115	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABV31686.1|ARO:3001637|OXA-106	blaOXA-106	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-106	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_031963705.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-106	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABV31687.1|ARO:3001638|OXA-107	blaOXA-107	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-107	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_046661070.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-107	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABV31688.1|ARO:3001639|OXA-108	blaOXA-108	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-108	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063860938.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-108	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ABV31689.1|ARO:3001640|OXA-109	blaOXA-109	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-109	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021794.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-109	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
