allele,gene_family,refseq_protein_accession,refseq_nucleotide_accession,genbank_protein_accession,genbank_nucleotide_accession,product_name,enhanced_subclass,fasta_header,acc
blaOXA-55,blaOXA,WP_063864256.1,WP_063864256.1,AAR03105.1,AY343493.1,carbapenem-hydrolyzing class D beta-lactamase OXA-55,Carbapenemase,gb|AAR03105.1|ARO:3001813|OXA-55 [Shewanella algae] ,AAR03105.1
blaOXA-60,blaOXA,WP_063864500.1,WP_063864500.1,AAQ08905.1,AF525303.2,carbapenem-hydrolyzing class D beta-lactamase OXA-60,Carbapenemase,gb|AAQ08905.1|ARO:3001808|OXA-60 [Ralstonia pickettii] ,AAQ08905.1
blaOXA-62,blaOXA,WP_063864527.1,WP_063864527.1,AAR32134.1,AY423074.1,carbapenem-hydrolyzing class D beta-lactamase OXA-62,Carbapenemase,gb|AAR32134.1|ARO:3001792|OXA-62 [Pandoraea pnomenusa] ,AAR32134.1
blaOXA-665,blaOXA,WP_016657654.1,WP_016657654.1,EPF70268.1,ATGI01000038.1,carbapenem-hydrolyzing class D beta-lactamase OXA-665,Carbapenemase,gb|EPF70268.1|ARO:3004478|OXA-665 [Acinetobacter rudis CIP 110305] ,EPF70268.1
blaOXA-900,blaOXA,WP_178317675.1,WP_178317675.1,QIB97956.1,MN936180.1,carbapenem-hydrolyzing class D beta-lactamase OXA-900,Beta-lactamase (unknown spectrum),gb|WP_178317675.1|ARO:3006088|OXA-900 [Citrobacter freundii] ,WP_178317675.1
blaOXA-1006,blaOXA,WP_231869629.1,WP_231869629.1,QWA20206.1,MZ265759.1,class D beta-lactamase OXA-1006,Beta-lactamase (unknown spectrum),2165384367|WP_231869629.1|1|1|blaOXA-1006|blaOXA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-1006,WP_231869629.1
blaOXA-1011,blaOXA,WP_211816370.1,WP_211816370.1,QUG49855.1,CP073309.1,class D beta-lactamase OXA-1011,Beta-lactamase (unknown spectrum),2035785355|WP_211816370.1|1|1|blaOXA-1011|blaOXA-732_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-1011,WP_211816370.1
blaOXA-1043,blaOXA,WP_077021671.1,WP_077021671.1,QUN38553.1,CP073669.1,class D beta-lactamase OXA-1043,Beta-lactamase (unknown spectrum),1142774804|WP_077021671.1|1|1|blaOXA-1043|blaOXA-1043_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-1043,WP_077021671.1
blaOXA-1091,blaOXA,WP_012045014.1,WP_012045014.1,ABQ37031.1,CP000494.1,class D beta-lactamase OXA-1091,Beta-lactamase (unknown spectrum),500991522|WP_012045014.1|1|1|blaOXA-1091|blaOXA-1091_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-1091,WP_012045014.1
blaOXA-114a,blaOXA,WP_054505840.1,WP_054505840.1,ABX38721.1,EU188842.1,class D beta-lactamase OXA-114a,Beta-lactamase (not ESBL or carbapenemase),gb|ABX38721.1|ARO:3001609|OXA-114a [Achromobacter xylosoxidans] ,ABX38721.1
blaOXA-114b,blaOXA,WP_006384924.1,WP_006384924.1,ADI23933.1,HM056040.1,class D beta-lactamase OXA-114b,Beta-lactamase (unknown spectrum),gb|WP_006384924.1|ARO:3005702|OXA-114b [Achromobacter xylosoxidans] ,WP_006384924.1
blaOXA-114c,blaOXA,WP_054448427.1,WP_054448427.1,ADI23934.1,HM056041.1,class D beta-lactamase OXA-114c,Beta-lactamase (unknown spectrum),gb|WP_054448427.1|ARO:3005703|OXA-114c [Achromobacter xylosoxidans] ,WP_054448427.1
blaOXA-114d,blaOXA,WP_063860980.1,WP_063860980.1,ADI25068.1,HM104633.1,class D beta-lactamase OXA-114d,Beta-lactamase (unknown spectrum),gb|WP_063860980.1|ARO:3005704|OXA-114d [Achromobacter xylosoxidans] ,WP_063860980.1
blaOXA-114e,blaOXA,WP_049058560.1,WP_049058560.1,ADI25069.1,HM104634.1,class D beta-lactamase OXA-114e,Beta-lactamase (unknown spectrum),gb|WP_049058560.1|ARO:3005705|OXA-114e [Achromobacter xylosoxidans] ,WP_049058560.1
blaOXA-114f,blaOXA,WP_024069684.1,WP_024069684.1,ADO14462.1,HM368375.1,class D beta-lactamase OXA-114f,Beta-lactamase (unknown spectrum),gb|WP_024069684.1|ARO:3005706|OXA-114f [Achromobacter xylosoxidans] ,WP_024069684.1
blaOXA-114g,blaOXA,WP_063861000.1,WP_063861000.1,ADO14463.1,HM368376.1,class D beta-lactamase OXA-114g,Beta-lactamase (unknown spectrum),gb|WP_063861000.1|ARO:3005707|OXA-114g [Achromobacter xylosoxidans] ,WP_063861000.1
blaOXA-114h,blaOXA,WP_053498400.1,WP_053498400.1,AFQ90095.1,JX206456.1,class D beta-lactamase OXA-114h,Beta-lactamase (unknown spectrum),gb|WP_053498400.1|ARO:3005708|OXA-114h [Achromobacter xylosoxidans] ,WP_053498400.1
blaOXA-114i,blaOXA,WP_026382828.1,WP_026382828.1,AFQ90089.1,JX206450.1,class D beta-lactamase OXA-114i,Beta-lactamase (unknown spectrum),gb|WP_026382828.1|ARO:3005709|OXA-114i [Achromobacter] ,WP_026382828.1
blaOXA-114j,blaOXA,WP_054437016.1,WP_054437016.1,AFQ90090.1,JX206451.1,class D beta-lactamase OXA-114j,Beta-lactamase (unknown spectrum),gb|WP_054437016.1|ARO:3005710|OXA-114j [Achromobacter xylosoxidans] ,WP_054437016.1
blaOXA-114k,blaOXA,WP_136512073.1,WP_136512073.1,AFQ90091.1,JX206452.1,class D beta-lactamase OXA-114k,Beta-lactamase (unknown spectrum),gb|WP_136512073.1|ARO:3005711|OXA-114k [Achromobacter xylosoxidans] ,WP_136512073.1
blaOXA-114l,blaOXA,WP_054517040.1,WP_054517040.1,AFQ90092.1,JX206453.1,class D beta-lactamase OXA-114l,Beta-lactamase (unknown spectrum),gb|WP_054517040.1|ARO:3005712|OXA-114l [Achromobacter xylosoxidans] ,WP_054517040.1
blaOXA-114m,blaOXA,WP_054471662.1,WP_054471662.1,AFQ90093.1,JX206454.1,class D beta-lactamase OXA-114m,Beta-lactamase (unknown spectrum),gb|WP_054471662.1|ARO:3005713|OXA-114m [Achromobacter xylosoxidans] ,WP_054471662.1
blaOXA-114n,blaOXA,WP_136512074.1,WP_136512074.1,AFQ90094.1,JX206455.1,class D beta-lactamase OXA-114n,Beta-lactamase (unknown spectrum),gb|WP_136512074.1|ARO:3005714|OXA-114n [Achromobacter xylosoxidans] ,WP_136512074.1
blaOXA-114p,blaOXA,WP_076412384.1,WP_076412384.1,AGW27419.1,KF573363.1,class D beta-lactamase OXA-114p,Beta-lactamase (unknown spectrum),gb|WP_076412384.1|ARO:3005715|OXA-114p [Achromobacter xylosoxidans] ,WP_076412384.1
blaOXA-114q,blaOXA,WP_136512075.1,WP_136512075.1,AGW27420.1,KF573364.1,class D beta-lactamase OXA-114q,Beta-lactamase (unknown spectrum),gb|WP_136512075.1|ARO:3005716|OXA-114q [Achromobacter xylosoxidans] ,WP_136512075.1
blaOXA-114r,blaOXA,WP_136512076.1,WP_136512076.1,AGW27421.1,KF573365.1,class D beta-lactamase OXA-114r,Beta-lactamase (unknown spectrum),gb|WP_136512076.1|ARO:3005717|OXA-114r [Achromobacter xylosoxidans] ,WP_136512076.1
blaOXA-114s,blaOXA,WP_136512077.1,WP_136512077.1,AGW27422.1,KF573366.1,class D beta-lactamase OXA-114s,Beta-lactamase (unknown spectrum),gb|WP_136512077.1|ARO:3005718|OXA-114s [Achromobacter xylosoxidans] ,WP_136512077.1
blaOXA-114t,blaOXA,WP_136512078.1,WP_136512078.1,AGW27423.1,KF573367.1,class D beta-lactamase OXA-114t,Beta-lactamase (unknown spectrum),gb|WP_136512078.1|ARO:3005719|OXA-114t [Achromobacter xylosoxidans] ,WP_136512078.1
blaOXA-114u,blaOXA,WP_136512079.1,WP_136512079.1,AGW27424.1,KF573368.1,class D beta-lactamase OXA-114u,Beta-lactamase (unknown spectrum),gb|WP_136512079.1|ARO:3005720|OXA-114u [Achromobacter xylosoxidans] ,WP_136512079.1
blaOXA-114v,blaOXA,WP_136512080.1,WP_136512080.1,AGW27425.1,KF573369.1,class D beta-lactamase OXA-114v,Beta-lactamase (unknown spectrum),gb|WP_136512080.1|ARO:3005721|OXA-114v [Achromobacter xylosoxidans] ,WP_136512080.1
blaOXA-114w,blaOXA,WP_136512081.1,WP_136512081.1,ALX18469.1,KU323970.1,class D beta-lactamase OXA-114w,Beta-lactamase (unknown spectrum),gb|WP_136512081.1|ARO:3005722|OXA-114w [Achromobacter xylosoxidans] ,WP_136512081.1
blaOXA-114x,blaOXA,WP_136512082.1,WP_136512082.1,ALX18470.1,KU323971.1,class D beta-lactamase OXA-114x,Beta-lactamase (unknown spectrum),gb|WP_136512082.1|ARO:3005723|OXA-114x [Achromobacter xylosoxidans] ,WP_136512082.1
blaOXA-209,blaOXA,WP_014053563.1,WP_014053563.1,AEM66528.1,JF268688.1,class D beta-lactamase OXA-209,Beta-lactamase (unknown spectrum),gb|AEM66528.1|ARO:3001809|OXA-209 [Riemerella anatipestifer] ,AEM66528.1
blaOXA-243,blaOXA,WP_006391197.1,WP_006391197.1,AFQ90085.1,JX206446.1,class D beta-lactamase OXA-243,Beta-lactamase (unknown spectrum),gb|AFQ90085.1|ARO:3001610|OXA-243 [Achromobacter xylosoxidans] ,AFQ90085.1
blaOXA-258,blaOXA,WP_063569909.1,WP_063569909.1,CCE73593.2,HE614014.2,class D beta-lactamase OXA-258,Beta-lactamase (unknown spectrum),gb|CCE73593.2|ARO:3001503|OXA-258 [Achromobacter ruhlandii] ,CCE73593.2
blaOXA-266,blaOXA,WP_004878009.1,WP_004878009.1,ENV38192.1,APPO01000008.1,class D beta-lactamase OXA-266,Beta-lactamase (unknown spectrum),gb|ENV38192.1|ARO:3001722|OXA-266 [Acinetobacter venetianus RAG-1 = CIP 110063] ,ENV38192.1
blaOXA-279,blaOXA,WP_004683508.1,WP_004683508.1,ENU35234.1,APOM01000058.1,class D beta-lactamase OXA-279,Beta-lactamase (unknown spectrum),gb|ENU35234.1|ARO:3001734|OXA-279 [Acinetobacter parvus DSM 16617 = CIP 108168] ,ENU35234.1
blaOXA-289,blaOXA,WP_081400730.1,WP_081400730.1,,APRM01000005.1,class D beta-lactamase OXA-289,Beta-lactamase (unknown spectrum),gb|WP_081400730.1|ARO:3001744|OXA-289 [Acinetobacter sp. NIPH 298] ,WP_081400730.1
blaOXA-290,blaOXA,WP_081398973.1,WP_081398973.1,,APOK01000044.1,class D beta-lactamase OXA-290,Beta-lactamase (unknown spectrum),1173870975|WP_081398973.1|1|1|blaOXA-290|blaOXA|hydrolase|2|||class_D_beta-lactamase_OXA-290,WP_081398973.1
blaOXA-294,blaOXA,WP_004776204.1,WP_004776204.1,ENU93232.1,APPC01000015.1,class D beta-lactamase OXA-294,Beta-lactamase (unknown spectrum),gb|ENU93232.1|ARO:3001749|OXA-294 [Acinetobacter sp. NIPH 758] ,ENU93232.1
blaOXA-296,blaOXA,WP_004650739.1,WP_004650739.1,ENU21024.1,APOH01000009.1,class D beta-lactamase OXA-296,Beta-lactamase (unknown spectrum),gb|ENU21024.1|ARO:3001751|OXA-296 [Acinetobacter bohemicus ANC 3994] ,ENU21024.1
blaOXA-299,blaOXA,WP_005011312.1,WP_005011312.1,ENV82218.1,APQD01000016.1,class D beta-lactamase OXA-299,Beta-lactamase (unknown spectrum),gb|ENV82218.1|ARO:3001754|OXA-299 [Acinetobacter bouvetii DSM 14964 = CIP 107468] ,ENV82218.1
blaOXA-308,blaOXA,WP_004867933.1,WP_004867933.1,ENV32314.1,APPN01000080.1,class D beta-lactamase OXA-308,Beta-lactamase (unknown spectrum),gb|ENV32314.1|ARO:3001763|OXA-308 [Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824] ,ENV32314.1
blaOXA-347,blaOXA,WP_004295324.1,WP_004295324.1,AET35493.1,JN086160.1,class D beta-lactamase OXA-347,Beta-lactamase (unknown spectrum),gb|AET35493.1|ARO:3001777|OXA-347 [uncultured bacterium] ,AET35493.1
blaOXA-457,blaOXA,WP_063864087.1,WP_063864087.1,ALC76098.1,KP903886.1,class D beta-lactamase OXA-457,Beta-lactamase (unknown spectrum),gb|ALC76098.1|ARO:3003613|OXA-457 [Achromobacter sp. 2015clin2ach] ,ALC76098.1
blaOXA-458,blaOXA,WP_063864088.1,WP_063864088.1,ALC76100.1,KP903888.1,class D beta-lactamase OXA-458,Beta-lactamase (unknown spectrum),gb|ALC76100.1|ARO:3003614|OXA-458 [Achromobacter sp. 2015clin4ach] ,ALC76100.1
blaOXA-459,blaOXA,WP_063864089.1,WP_063864089.1,ALC76101.1,KP903889.1,class D beta-lactamase OXA-459,Beta-lactamase (unknown spectrum),gb|ALC76101.1|ARO:3003615|OXA-459 [Achromobacter insuavis] ,ALC76101.1
blaOXA-491,blaOXA,WP_020848173.1,WP_020848173.1,KLE07522.1,JAIV01000087.1,class D beta-lactamase OXA-491,Beta-lactamase (unknown spectrum),"gb|WP_020848173.1|ARO:3005725|OXA-491 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_020848173.1
blaOXA-493,blaOXA,WP_012662081.1,WP_012662081.1,AJC94664.1,CP007774.1,class D beta-lactamase OXA-493,Beta-lactamase (unknown spectrum),gb|WP_012662081.1|ARO:3005726|OXA-493 [Campylobacter] ,WP_012662081.1
blaOXA-504,blaOXA,WP_063864115.1,WP_063864115.1,ALG65432.1,KT355710.1,class D beta-lactamase OXA-504,Beta-lactamase (unknown spectrum),gb|WP_063864115.1|ARO:3005734|OXA-504 [Aeromonas caviae] ,WP_063864115.1
blaOXA-527,blaOXA,WP_068981642.1,WP_068981642.1,ANW47163.1,KX599404.1,class D beta-lactamase OXA-527,Beta-lactamase (unknown spectrum),"gb|WP_068981642.1|ARO:3005757|OXA-527 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_068981642.1
blaOXA-548,blaOXA,WP_087587939.1,WP_087587939.1,AQX43448.1,KY682750.1,class D beta-lactamase OXA-548,Beta-lactamase (unknown spectrum),"gb|WP_087587939.1|ARO:3005772|OXA-548 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_087587939.1
blaOXA-568,blaOXA,WP_099337823.1,WP_099337823.1,ATO19096.1,CP024011.1,class D beta-lactamase OXA-568,Beta-lactamase (unknown spectrum),"gb|WP_099337823.1|ARO:3005792|OXA-568 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_099337823.1
blaOXA-576,blaOXA,WP_087696200.1,WP_087696200.1,AWD39715.1,MH085550.1,class D beta-lactamase OXA-576,Beta-lactamase (unknown spectrum),gb|WP_087696200.1|ARO:3005797|OXA-576 [Campylobacter jejuni] ,WP_087696200.1
blaOXA-61,blaOXA,WP_002872036.1,WP_002872036.1,AAT01092.1,AY587956.1,class D beta-lactamase OXA-61,Beta-lactamase (not ESBL or carbapenemase),gb|AAT01092.1|ARO:3001773|OXA-61 [Campylobacter jejuni] ,AAT01092.1
blaOXA-666,blaOXA,WP_092689909.1,WP_092689909.1,SDY39836.1,FNPK01000009.1,class D beta-lactamase OXA-666,Carbapenemase,"gb|WP_092689909.1|ARO:3005878|OXA-666 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_092689909.1
blaOXA-732,blaOXA,WP_072678505.1,WP_072678505.1,AFY12006.1,JX846494.1,class D beta-lactamase OXA-732,Beta-lactamase (unknown spectrum),gb|WP_072678505.1|ARO:3005937|OXA-732 [Pseudomonas aeruginosa] ,WP_072678505.1
blaOXA-780,blaOXA,WP_049637206.1,WP_049637206.1,KMY26613.1,LFXO01000139.1,class D beta-lactamase OXA-780,Beta-lactamase (unknown spectrum),gb|WP_049637206.1|ARO:3005983|OXA-780 [Aeromonas] ,WP_049637206.1
blaOXA-837,blaOXA,WP_148281568.1,WP_148281568.1,QEE23059.1,MN313890.1,class D beta-lactamase OXA-837,Beta-lactamase (unknown spectrum),gb|QEE23059.1|ARO:3005060|OXA-837 [Cupriavidus gilardii] ,QEE23059.1
blaOXA-919,blaOXA,WP_007879679.1,WP_007879679.1,NNV19885.1,PKQI01000001.1,class D beta-lactamase OXA-919,Beta-lactamase (unknown spectrum),"gb|WP_007879679.1|ARO:3006105|OXA-919 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_007879679.1
blaOXA-925,blaOXA,WP_100507493.1,WP_100507493.1,CCP19563.2,HF562855.2,class D beta-lactamase OXA-925,Beta-lactamase (unknown spectrum),gb|WP_100507493.1|ARO:3006111|OXA-925 [Achromobacter ruhlandii] ,WP_100507493.1
blaOXA-926,blaOXA,WP_114268491.1,WP_114268491.1,QLL99519.1,MT767688.1,class D beta-lactamase OXA-926,Beta-lactamase (unknown spectrum),gb|WP_114268491.1|ARO:3005323|OXA-926 [Klebsiella] ,WP_114268491.1
blaOXA-956,blaOXA,WP_021139936.1,WP_021139936.1,MBS2780954.1,JAGUQQ010000007.1,class D beta-lactamase OXA-956,Beta-lactamase (unknown spectrum),544709590|WP_021139936.1|1|1|blaOXA-956|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-956,WP_021139936.1
blaOXA-957,blaOXA,WP_219860714.1,WP_219860714.1,QWJ89343.1,MZ126685.1,class D beta-lactamase OXA-957,Beta-lactamase (unknown spectrum),2075919564|WP_219860714.1|1|1|blaOXA-957|bla-D|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-957,WP_219860714.1
blaOXA-981,blaOXA,WP_231869606.1,WP_231869606.1,QWA20180.1,MZ265733.1,class D beta-lactamase OXA-981,Beta-lactamase (unknown spectrum),2165384344|WP_231869606.1|1|1|blaOXA-981|blaOXA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-981,WP_231869606.1
blaOXA-999,blaOXA,WP_231869624.1,WP_231869624.1,QWA20198.1,MZ265751.1,class D beta-lactamase OXA-999,Beta-lactamase (unknown spectrum),2165384362|WP_231869624.1|1|1|blaOXA-999|blaOXA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-999,WP_231869624.1
blaOXA-18,blaOXA,WP_063861237.1,WP_063861237.1,AAB58555.1,U85514.1,extended-spectrum class D beta-lactamase OXA-18,ESBL,gb|AAB58555.1|ARO:3001413|OXA-18 [Pseudomonas aeruginosa] ,AAB58555.1
blaOXA-45,blaOXA,WP_032490761.1,WP_032490761.1,CAD58780.1,AJ519683.1,extended-spectrum class D beta-lactamase OXA-45,ESBL,gb|CAD58780.1|ARO:3001794|OXA-45 [Pseudomonas aeruginosa] ,CAD58780.1
blaOXA-830,blaOXA,WP_152315468.1,WP_152315468.1,QCQ81089.1,MK926981.1,extended-spectrum class D beta-lactamase OXA-830,Beta-lactamase (unknown spectrum),"gb|WP_152315468.1|ARO:3006027|OXA-830 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_152315468.1
blaOXA-1042,blaOXA,WP_231869587.1,WP_231869587.1,BDB58062.1,LC651191.1,OXA-1 family class D beta-lactamase OXA-1042,Beta-lactamase,2165384325|WP_231869587.1|1|1|blaOXA-1042|blaOXA-1_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-1_family_class_D_beta-lactamase_OXA-1042,WP_231869587.1
blaOXA-224,blaOXA,WP_063861812.1,WP_063861812.1,AEQ73521.1,JN596991.2,OXA-1 family class D beta-lactamase OXA-224,Beta-lactamase (unknown spectrum),gb|AEQ73521.1|ARO:3001806|OXA-224 [Pseudomonas aeruginosa] ,AEQ73521.1
blaOXA-320,blaOXA,WP_063862622.1,WP_063862622.1,AGR55864.1,KF151169.1,OXA-1 family class D beta-lactamase OXA-320,Beta-lactamase (unknown spectrum),gb|AGR55864.1|ARO:3001793|OXA-320 [Proteus mirabilis] ,AGR55864.1
blaOXA-534,blaOXA,WP_069280711.1,WP_069280711.1,AOE47040.1,KX714285.1,OXA-1 family class D beta-lactamase OXA-534,Beta-lactamase (unknown spectrum),gb|WP_069280711.1|ARO:3005764|OXA-534 [Klebsiella pneumoniae] ,WP_069280711.1
blaOXA-675,blaOXA,WP_122630857.1,WP_122630857.1,AXQ11888.1,MH780096.1,OXA-1 family class D beta-lactamase OXA-675,Beta-lactamase (unknown spectrum),gb|WP_122630857.1|ARO:3005883|OXA-675 [Pseudomonas aeruginosa] ,WP_122630857.1
blaOXA-796,blaOXA,WP_110612827.1,WP_110612827.1,AEH57063.1,HQ386835.1,OXA-1 family class D beta-lactamase OXA-796,Beta-lactamase (unknown spectrum),gb|WP_110612827.1|ARO:3005996|OXA-796 [Proteus sp. VIITMP5] ,WP_110612827.1
blaOXA-921,blaOXA,WP_179284339.1,WP_179284339.1,BCG11499.1,LC543862.1,OXA-1 family class D beta-lactamase OXA-921,Beta-lactamase (unknown spectrum),gb|WP_179284339.1|ARO:3006107|OXA-921 [Klebsiella quasipneumoniae] ,WP_179284339.1
blaOXA-31,blaOXA,WP_032490053.1,WP_032490053.1,AAK52604.1,AF294653.1,OXA-1 family extended-spectrum class D beta-lactamase OXA-31,ESBL,gb|AAK52604.1|ARO:3001425|OXA-31 [Pseudomonas aeruginosa] ,AAK52604.1
blaOXA-47,blaOXA,WP_063864092.1,WP_063864092.1,AAP69225.1,AY237830.1,OXA-1 family oxacillin-hydrolyzing class D beta-lactamase OXA-47,Beta-lactamase (not ESBL or carbapenemase),gb|AAP69225.1|ARO:3001781|OXA-47 [Klebsiella pneumoniae] ,AAP69225.1
blaOXA-233,blaOXA,WP_063862149.1,WP_063862149.1,AID67109.1,KJ657570.1,OXA-10 family carbapenem-hydrolyzing class D beta-lactamase OXA-233,Carbapenemase,gb|AID67109.1|ARO:3001495|OXA-233 [Citrobacter freundii] ,AID67109.1
blaOXA-101,blaOXA,WP_063860937.1,WP_063860937.1,CAL85435.1,AM412777.1,OXA-10 family class D beta-lactamase OXA-101,Beta-lactamase (not ESBL or carbapenemase),gb|CAL85435.1|ARO:3001439|OXA-101 [Citrobacter freundii] ,CAL85435.1
blaOXA-1015,blaOXA,WP_219860727.1,WP_219860727.1,QWY90352.1,MZ449318.1,OXA-10 family class D beta-lactamase OXA-1015,Beta-lactamase (unknown spectrum),2075919577|WP_219860727.1|1|1|blaOXA-1015|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1015,WP_219860727.1
