ID,Combined_AMR,RGI,AMRFinder,ncbi,subfamily,family,family__color,ncbi_family,card_family,Combined_drug_class,ncbi_drug_class,RGI_drug_class,AMRFinder_drug_class
AAR03105.1,OXA-55,OXA-55,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ACC58995.1,OXA-58,OXA-58,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AAQ08905.1,OXA-60,OXA-60,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AAR32134.1,OXA-62,OXA-62,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
EOR02560.1,OXA-664,OXA-664,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
WP_104442312.1,OXA-1036,,,blaOXA-1036,Carbapenemase,carbapenem-hydrolyzing class D beta-lactamase OXA-1036,#ffffff,carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,carbapenem
WP_075071939.1,OXA-1089,,,blaOXA-1089,Carbapenemase,carbapenem-hydrolyzing class D beta-lactamase OXA-1089,#ffffff,carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_051601260.1,OXA-1090,,,blaOXA-1090,Carbapenemase,carbapenem-hydrolyzing class D beta-lactamase OXA-1090,#ffffff,carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,
WP_094865115.1,OXA-198,,,blaOXA-198,Carbapenemase,carbapenem-hydrolyzing class D beta-lactamase OXA-198,#ffffff,carbapenem-hydrolyzing class D beta-lactamase,#N/A,Carbapenemase,Carbapenemase,,carbapenem
WP_109545048.1,OXA-542,OXA-542,OXA-542,blaOXA-542,Carbapenemase,carbapenem-hydrolyzing class D beta-lactamase OXA-542,#ffffff,carbapenem-hydrolyzing class D beta-lactamase,carbapenem-hydrolyzing class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,carbapenem
WP_178317675.1,OXA-900,OXA-900,OXA-900,blaOXA-900,Beta-lactamase (unknown spectrum),carbapenem-hydrolyzing class D beta-lactamase OXA-900,#ffffff,carbapenem-hydrolyzing class D beta-lactamase,carbapenem-hydrolyzing class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,carbapenem
ABX38721.1,OXA-114a,OXA-114a,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AEM66528.1,OXA-209,OXA-209,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AFQ90085.1,OXA-243,OXA-243,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
CCE73593.2,OXA-258,OXA-258,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENV38192.1,OXA-266,OXA-266,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENU35234.1,OXA-279,OXA-279,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENU29139.1,OXA-290,OXA-290,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENU93232.1,OXA-294,OXA-294,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENU21024.1,OXA-296,OXA-296,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENV82218.1,OXA-299,OXA-299,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ENV32314.1,OXA-308,OXA-308,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AET35493.1,OXA-347,OXA-347,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ALC76098.1,OXA-457,OXA-457,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ALC76100.1,OXA-458,OXA-458,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ALC76101.1,OXA-459,OXA-459,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ANW35663.1,OXA-464,OXA-464,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AAT01092.1,OXA-61,OXA-61,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
QEE23059.1,OXA-837,OXA-837,,,,class D beta-lactamase,#ffffff,,class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
WP_231869629.1,OXA-1006,,,blaOXA-1006,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-1006,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_211816370.1,OXA-1011,,,blaOXA-1011,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-1011,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_077021671.1,OXA-1043,,,blaOXA-1043,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-1043,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_012045014.1,OXA-1091,,,blaOXA-1091,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-1091,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_006384924.1,OXA-114b,OXA-114b,OXA-114b,blaOXA-114b,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114b,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_054448427.1,OXA-114c,OXA-114c,OXA-114c,blaOXA-114c,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114c,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_063860980.1,OXA-114d,OXA-114d,OXA-114d,blaOXA-114d,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114d,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_049058560.1,OXA-114e,OXA-114e,OXA-114e,blaOXA-114e,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114e,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_024069684.1,OXA-114f,OXA-114f,OXA-114f,blaOXA-114f,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114f,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_063861000.1,OXA-114g,OXA-114g,OXA-114g,blaOXA-114g,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114g,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_053498400.1,OXA-114h,OXA-114h,OXA-114h,blaOXA-114h,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114h,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_026382828.1,OXA-114i,OXA-114i,OXA-114i,blaOXA-114i,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114i,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_054437016.1,OXA-114j,OXA-114j,OXA-114j,blaOXA-114j,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114j,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512073.1,OXA-114k,OXA-114k,OXA-114k,blaOXA-114k,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114k,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_054517040.1,OXA-114l,OXA-114l,OXA-114l,blaOXA-114l,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114l,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_054471662.1,OXA-114m,OXA-114m,OXA-114m,blaOXA-114m,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114m,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512074.1,OXA-114n,OXA-114n,OXA-114n,blaOXA-114n,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114n,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_076412384.1,OXA-114p,OXA-114p,OXA-114p,blaOXA-114p,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114p,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512075.1,OXA-114q,OXA-114q,OXA-114q,blaOXA-114q,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114q,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512076.1,OXA-114r,OXA-114r,OXA-114r,blaOXA-114r,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114r,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512077.1,OXA-114s,OXA-114s,OXA-114s,blaOXA-114s,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114s,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512078.1,OXA-114t,OXA-114t,OXA-114t,blaOXA-114t,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114t,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512079.1,OXA-114u,OXA-114u,OXA-114u,blaOXA-114u,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114u,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512080.1,OXA-114v,OXA-114v,OXA-114v,blaOXA-114v,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114v,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512081.1,OXA-114w,OXA-114w,OXA-114w,blaOXA-114w,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114w,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_136512082.1,OXA-114x,OXA-114x,OXA-114x,blaOXA-114x,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-114x,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_081400730.1,OXA-289,OXA-289,OXA-289,blaOXA-289,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-289,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_081398973.1,OXA-290,,,blaOXA-290,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-290,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,beta-lactam
WP_020848173.1,OXA-491,OXA-491,OXA-491,blaOXA-491,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-491,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_012662081.1,OXA-493,OXA-493,OXA-493,blaOXA-493,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-493,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_063864115.1,OXA-504,OXA-504,OXA-504,blaOXA-504,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-504,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_068981642.1,OXA-527,OXA-527,OXA-527,blaOXA-527,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-527,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_087587939.1,OXA-548,OXA-548,OXA-548,blaOXA-548,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-548,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_099337823.1,OXA-568,OXA-568,OXA-568,blaOXA-568,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-568,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_087696200.1,OXA-576,OXA-576,OXA-576,blaOXA-576,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-576,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_092689909.1,OXA-666,OXA-666,OXA-666,blaOXA-666,Carbapenemase,class D beta-lactamase OXA-666,#ff0000,class D beta-lactamase,class D beta-lactamase,Carbapenemase,Carbapenemase,carbapenem/cephalosporin/penam,beta-lactam
WP_072678505.1,OXA-732,OXA-732,OXA-732,blaOXA-732,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-732,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_049637206.1,OXA-780,OXA-780,OXA-780,blaOXA-780,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-780,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_007879679.1,OXA-919,OXA-919,OXA-919,blaOXA-919,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-919,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_100507493.1,OXA-925,OXA-925,OXA-925,blaOXA-925,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-925,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_114268491.1,OXA-926,OXA-926,OXA-926,blaOXA-926,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-926,#ff0000,class D beta-lactamase,class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_021139936.1,OXA-956,,,blaOXA-956,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-956,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_219860714.1,OXA-957,,,blaOXA-957,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-957,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_231869606.1,OXA-981,,,blaOXA-981,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-981,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_231869624.1,OXA-999,,,blaOXA-999,Beta-lactamase (unknown spectrum),class D beta-lactamase OXA-999,#ff0000,class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
AAB58555.1,OXA-18,OXA-18,,,,extended-spectrum class D beta-lactamase,#ffffff,,extended-spectrum class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
CAD58780.1,OXA-45,OXA-45,,,,extended-spectrum class D beta-lactamase,#ffffff,,extended-spectrum class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
WP_152315468.1,OXA-830,OXA-830,OXA-830,blaOXA-830,Beta-lactamase (unknown spectrum),extended-spectrum class D beta-lactamase OXA-830,#ffffff,extended-spectrum class D beta-lactamase,extended-spectrum class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
AEQ73521.1,OXA-224,OXA-224,,,,OXA-1 family class D beta-lactamase,#b380ff,,OXA-1 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AGR55864.1,OXA-320,OXA-320,,,,OXA-1 family class D beta-lactamase,#b380ff,,OXA-1 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AAN41430.1,OXA-392,OXA-392,,,,OXA-1 family class D beta-lactamase,#b380ff,,OXA-1 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
WP_231869587.1,OXA-1042,,,blaOXA-1042,Beta-lactamase,OXA-1 family class D beta-lactamase OXA-1042,#b380ff,OXA-1 family class D beta-lactamase,#N/A,Beta-lactamase,Beta-lactamase,,
WP_069280711.1,OXA-534,OXA-534,OXA-534,blaOXA-534,Beta-lactamase (unknown spectrum),OXA-1 family class D beta-lactamase OXA-534,#b380ff,OXA-1 family class D beta-lactamase,OXA-1 family class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_122630857.1,OXA-675,OXA-675,OXA-675,blaOXA-675,Beta-lactamase (unknown spectrum),OXA-1 family class D beta-lactamase OXA-675,#b380ff,OXA-1 family class D beta-lactamase,OXA-1 family class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_110612827.1,OXA-796,OXA-796,OXA-796,blaOXA-796,Beta-lactamase (unknown spectrum),OXA-1 family class D beta-lactamase OXA-796,#b380ff,OXA-1 family class D beta-lactamase,OXA-1 family class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
WP_179284339.1,OXA-921,OXA-921,OXA-921,blaOXA-921,Beta-lactamase (unknown spectrum),OXA-1 family class D beta-lactamase OXA-921,#b380ff,OXA-1 family class D beta-lactamase,OXA-1 family class D beta-lactamase,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),carbapenem/cephalosporin/penam,beta-lactam
AAK52604.1,OXA-31,OXA-31,,,,OXA-1 family extended-spectrum class D beta-lactamase,#b380ff,,OXA-1 family extended-spectrum class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AAG23871.1,OXA-33,OXA-33,,,,OXA-1 family oxacillin-hydrolyzing class D beta-lactamase,#b380ff,,OXA-1 family oxacillin-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AET05998.1,OXA-4,OXA-4,,,,OXA-1 family oxacillin-hydrolyzing class D beta-lactamase,#b380ff,,OXA-1 family oxacillin-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AAG45720.1,OXA-10,OXA-10,,,,OXA-10,#000099,,oxacillin-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AID67109.1,OXA-233,OXA-233,,,,OXA-10 family carbapenem-hydrolyzing class D beta-lactamase,#000099,,OXA-10 family carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
CAL85435.1,OXA-101,OXA-101,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADV41666.1,OXA-183,OXA-183,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AFN20670.1,OXA-240,OXA-240,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AHC31001.1,OXA-246,OXA-246,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AER57903.1,OXA-251,OXA-251,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
CCE94500.1,OXA-256,OXA-256,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AMB19637.1,OXA-368,OXA-368,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
BAR45714.1,OXA-454,OXA-454,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
OWG16436.1,OXA-663,OXA-663,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
CAH69530.1,OXA-74,OXA-74,,,,OXA-10 family class D beta-lactamase,#000099,,OXA-10 family class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
WP_219860727.1,OXA-1015,,,blaOXA-1015,Beta-lactamase (unknown spectrum),OXA-10 family class D beta-lactamase OXA-1015,#000099,OXA-10 family class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
WP_240067727.1,OXA-1046,,,blaOXA-1046,Beta-lactamase (unknown spectrum),OXA-10 family class D beta-lactamase OXA-1046,#000099,OXA-10 family class D beta-lactamase,#N/A,Beta-lactamase (unknown spectrum),Beta-lactamase (unknown spectrum),,
